lat,lon,year,students,attainment
40.041111,-75.02644,2009,1493,1.526359
40.053511,-75.18858,2009,881,21.787128
40.055411,-75.13793,2009,805,21.242747
40.055861,-75.15654,2009,1593,-7.673407
40.057661,-75.08018,2009,3633,15.148191
40.059611,-75.04837,2009,1416,27.746307
40.064257,-75.00155,2009,632,3.416370
40.07226,-75.17106,2009,807,25.873151
40.07236,-75.20772,2009,243,45.529284
40.09146,-74.97719,2009,1146,40.622084
40.09261,-75.04118,2009,1852,57.105402
40.117413,-75.0154,2009,1197,22.327303
39.898985,-75.23221,2010,1038,-7.224791
39.919812,-75.15803,2010,2501,0.606324
39.922262,-75.18259,2010,1443,13.222630
39.922612,-75.23453,2010,1349,-23.315404
39.936562,-75.15409,2010,1403,52.750097
39.938512,-75.18067,2010,1047,-16.088684
39.944162,-75.22718,2010,2102,-13.296279
39.951062,-75.14589,2010,434,57.603829
39.952112,-75.15853,2010,1,-134.734350
39.952162,-75.17406,2010,442,55.530747
39.961612,-75.19957,2010,1518,-16.356894
39.961812,-75.23003,2010,2447,-15.441823
39.964012,-75.14764,2010,847,45.996996
39.968262,-75.17222,2010,1618,64.839956
39.975929,-75.25256,2010,1020,0.110468
39.977662,-75.14336,2010,907,-6.783569
39.978162,-75.12565,2010,1490,-9.523910
39.981062,-75.1745,2010,2278,-22.175467
39.981112,-75.22486,2010,1642,-28.909113
39.991712,-75.11116,2010,3572,9.225609
39.992862,-75.14054,2010,1868,-8.724942
39.995412,-75.16977,2010,2213,-32.218974
40.011562,-75.1839,2010,423,-37.695530
40.012212,-75.14503,2010,3952,-34.664482
40.017362,-75.08769,2010,4343,-28.540293
40.023611,-75.04966,2010,792,17.337434
40.026626,-75.22311,2010,139,51.438647
40.033944,-75.12118,2010,5161,-22.021451
40.034111,-75.17203,2010,1884,3.901435
40.035778,-75.1447,2010,2621,50.552801
40.037711,-75.06658,2010,2448,14.370753
40.038944,-75.22104,2010,1535,29.571471
40.041111,-75.02644,2010,1553,18.947287
40.053511,-75.18858,2010,848,35.605199
40.055411,-75.13793,2010,847,31.924859
40.055861,-75.15654,2010,1573,-5.782541
40.057661,-75.08018,2010,3952,20.039576
40.059611,-75.04837,2010,1509,25.764454
40.064257,-75.00155,2010,672,14.698556
40.07226,-75.17106,2010,861,25.338561
40.07236,-75.20772,2010,259,49.380297
40.09146,-74.97719,2010,1286,39.786013
40.09261,-75.04118,2010,1836,64.532723
40.117413,-75.0154,2010,1273,25.177496
39.898985,-75.23221,2011,921,-9.125772
39.919812,-75.15803,2011,2263,-0.392090
39.922262,-75.18259,2011,1079,40.176080
39.922612,-75.23453,2011,1255,-29.380667
39.936562,-75.15409,2011,1461,59.990419
39.938512,-75.18067,2011,992,-18.409838
39.944162,-75.22718,2011,1902,-15.951749
39.951062,-75.14589,2011,421,52.254461
39.952162,-75.17406,2011,427,50.157867
39.961612,-75.19957,2011,1504,-8.007492
39.961812,-75.23003,2011,2284,-16.722749
39.964012,-75.14764,2011,853,46.779242
39.968262,-75.17222,2011,1467,71.579504
39.975929,-75.25256,2011,898,22.572404
39.977662,-75.14336,2011,800,1.583874
39.978162,-75.12565,2011,1389,-7.231781
39.981062,-75.1745,2011,1979,-13.986735
39.981112,-75.22486,2011,1234,-25.668524
39.991712,-75.11116,2011,3217,3.016057
39.992862,-75.14054,2011,1585,-14.233031
39.995412,-75.16977,2011,1878,-35.375927
40.011562,-75.1839,2011,459,-12.908240
40.012212,-75.14503,2011,3201,-23.112067
40.017362,-75.08769,2011,3810,-25.812337
40.023611,-75.04966,2011,782,14.997114
40.026626,-75.22311,2011,135,44.013038
40.033944,-75.12118,2011,4344,-18.777766
40.034111,-75.17203,2011,1550,0.178629
40.035778,-75.1447,2011,2101,65.466974
40.037711,-75.06658,2011,2381,15.904302
40.038944,-75.22104,2011,1396,30.922238
40.041111,-75.02644,2011,1415,21.152238
40.053511,-75.18858,2011,858,36.645626
40.055411,-75.13793,2011,707,32.191929
40.055861,-75.15654,2011,1392,2.267739
40.057661,-75.08018,2011,3688,16.448787
40.059611,-75.04837,2011,1363,40.810745
40.064257,-75.00155,2011,619,18.060177
40.07226,-75.17106,2011,705,37.436303
40.07236,-75.20772,2011,269,60.308208
40.09146,-74.97719,2011,1354,41.470722
40.09261,-75.04118,2011,1824,66.759656
40.117413,-75.0154,2011,1209,38.557443
39.898985,-75.23221,2012,19,-36.686636
39.919812,-75.15803,2012,47,-35.428933
39.922262,-75.18259,2012,19,-54.382808
39.922612,-75.23453,2012,50,-43.874288
39.936562,-75.15409,2012,7,26.796192
39.938512,-75.18067,2012,114,-36.644816
39.944162,-75.22718,2012,52,-8.799493
39.951062,-75.14589,2012,3,61.572783
39.952162,-75.17406,2012,1,-45.081600
39.961612,-75.19957,2012,59,-46.688412
39.961812,-75.23003,2012,53,-25.031689
39.964012,-75.14764,2012,9,-46.982250
39.968262,-75.17222,2012,19,-46.581631
39.975929,-75.25256,2012,18,-14.445458
39.977662,-75.14336,2012,16,-26.244862
39.978162,-75.12565,2012,45,-38.925834
39.981062,-75.1745,2012,90,-49.351323
39.981112,-75.22486,2012,54,-33.153955
39.991712,-75.11116,2012,58,-37.646029
39.992862,-75.14054,2012,39,-53.417369
39.995412,-75.16977,2012,41,-36.848761
40.011562,-75.1839,2012,42,-44.283574
40.012212,-75.14503,2012,195,-35.046136
40.017362,-75.08769,2012,112,-30.874232
40.023611,-75.04966,2012,18,9.409102
40.033944,-75.12118,2012,93,-32.736887
40.034111,-75.17203,2012,57,-53.880601
40.035778,-75.1447,2012,18,-0.667047
40.037711,-75.06658,2012,56,-30.729338
40.038944,-75.22104,2012,15,-5.902863
40.041111,-75.02644,2012,30,-2.406563
40.053511,-75.18858,2012,7,30.670207
40.055411,-75.13793,2012,16,-45.399568
40.055861,-75.15654,2012,55,-28.262827
40.057661,-75.08018,2012,74,-19.907927
40.059611,-75.04837,2012,27,32.095448
40.064257,-75.00155,2012,5,74.402570
40.07226,-75.17106,2012,16,-37.706731
40.07236,-75.20772,2012,4,9.038825
40.09146,-74.97719,2012,11,29.595240
40.09261,-75.04118,2012,13,5.554232
40.117413,-75.0154,2012,7,52.125071
